283,4.963
2339,4.957
3324,4.905
3902,4.891
446,4.843
447,4.838
4649,4.818
4634,4.814
1131,4.796
4925,4.762
4755,4.760
5069,4.760
4801,4.735
682,4.733
1670,4.714
91,4.705
5768,4.703
3461,4.703
5984,4.700
1021,4.695
1856,4.694
2155,4.690
953,4.688
3596,4.688
2243,4.683
989,4.682
101,4.679
5609,4.675
1940,4.672
3306,4.667
4273,4.667
5542,4.662
1349,4.651
661,4.648
5343,4.639
4176,4.636
4982,4.622
5255,4.617
5936,4.611
3699,4.607
2574,4.606
5862,4.600
5582,4.596
2726,4.595
307,4.593
3604,4.593
4589,4.593
4595,4.592
1986,4.591
288,4.589
1569,4.589
233,4.585
3287,4.583
567,4.583
2363,4.581
4584,4.581
5427,4.580
4189,4.576
2791,4.562
4904,4.562
215,4.559
372,4.554
5499,4.551
761,4.550
5212,4.550
1702,4.550
5839,4.548
4518,4.548
3073,4.544
1437,4.542
2964,4.542
3210,4.537
2593,4.537
5165,4.535
2922,4.535
2510,4.535
1378,4.534
3738,4.531
3036,4.526
764,4.525
951,4.524
4187,4.522
5102,4.521
266,4.520
5073,4.520
3864,4.520
5003,4.515
2838,4.513
4136,4.513
451,4.512
2849,4.510
1959,4.508
2118,4.506
1315,4.505
2497,4.504
3282,4.500
1863,4.500
2694,4.500
5696,4.500
3437,4.500
138,4.492
4179,4.491
2691,4.490
5095,4.488
4086,4.487
577,4.487
5671,4.486
586,4.486
1062,4.485
3781,4.484
5375,4.483
1518,4.480
5962,4.480
5056,4.479
3872,4.479
5122,4.478
1692,4.478
2729,4.478
645,4.477
2477,4.475
5629,4.475
3912,4.475
97,4.474
597,4.474
2942,4.473
3835,4.473
3755,4.472
3446,4.472
2259,4.472
4172,4.471
161,4.471
2159,4.471
1732,4.471
3238,4.469
1718,4.469
1275,4.467
4885,4.467
4405,4.467
3251,4.464
3682,4.462
3560,4.460
1180,4.459
3452,4.459
2543,4.458
4143,4.458
2914,4.458
5690,4.458
538,4.458
3688,4.457
1446,4.454
2957,4.453
257,4.453
2065,4.452
932,4.450
5168,4.450
322,4.450
503,4.448
2417,4.448
2369,4.448
3813,4.448
1654,4.447
2171,4.446
2287,4.444
5446,4.444
3704,4.443
894,4.443
5986,4.442
5094,4.441
568,4.440
3852,4.439
2738,4.438
768,4.438
3298,4.438
3474,4.435
4154,4.435
2755,4.435
5007,4.435
2733,4.434
452,4.432
5484,4.430
1751,4.429
1071,4.427
1586,4.424
1541,4.423
3820,4.422
1134,4.420
2514,4.419
2788,4.419
2313,4.419
81,4.419
3456,4.418
5589,4.417
3978,4.417
121,4.417
4254,4.417
1343,4.416
2070,4.413
5384,4.413
5679,4.412
2697,4.412
5085,4.412
4461,4.410
3039,4.410
1972,4.410
2467,4.409
4741,4.409
4515,4.409
2295,4.409
3877,4.409
1682,4.407
4815,4.405
1746,4.405
3809,4.404
413,4.404
374,4.404
5997,4.404
3810,4.403
3356,4.402
412,4.401
4204,4.400
3686,4.400
5528,4.400
5215,4.400
3303,4.400
4776,4.400
3347,4.400
1862,4.400
5743,4.400
345,4.400
5332,4.397
3204,4.396
5033,4.396
6020,4.395
2943,4.395
3502,4.394
3344,4.393
5130,4.393
3559,4.392
592,4.391
5537,4.391
5973,4.389
5626,4.387
4874,4.387
2307,4.386
2689,4.386
164,4.385
5336,4.383
5048,4.382
4516,4.382
4701,4.381
1363,4.381
356,4.381
4817,4.380
1481,4.380
1192,4.379
2775,4.379
4667,4.378
5006,4.378
5115,4.375
3296,4.375
4986,4.370
1539,4.370
1673,4.370
4168,4.370
2683,4.370
4507,4.366
5460,4.365
1966,4.364
4424,4.364
5968,4.364
4944,4.364
128,4.364
2983,4.364
2108,4.364
4686,4.363
5930,4.362
3592,4.361
2340,4.361
2401,4.360
3181,4.360
420,4.359
3266,4.358
4968,4.357
4293,4.357
3420,4.355
1555,4.354
739,4.354
2201,4.354
3936,4.353
4027,4.353
408,4.353
2372,4.352
2083,4.350
4563,4.350
5593,4.350
3587,4.349
5291,4.348
790,4.348
518,4.348
4889,4.347
65,4.347
3226,4.347
